"","","","","","","","","","","pred"
"131",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"132",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"133",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"134",12,0,0,0,0.167349890296697,4.38036916223132e-169,7.3647788087454e-314,7.3647788087454e-314,7.3647788087454e-314,1
"135",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"136",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"137",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"138",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"139",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"140",50,0,0,0,1.229130463314e-08,1.02071309358065e-312,1.02071309358065e-312,1.02071309358065e-312,1.02071309358065e-312,1
"141",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"142",6,0,0,0,0.734598569999144,9.83544963590975e-85,1.59545148595604e-314,1.59545148595604e-314,1.59545148595604e-314,1
"143",7,0,0,0,0.641292744252,9.60116625199011e-99,2.29971124626401e-314,2.29971124626401e-314,2.29971124626401e-314,1
"144",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"145",22,0,0,0,0.00253369636825381,2.02709958226034e-310,1.67928121943356e-313,1.67928121943356e-313,1.67928121943356e-313,1
"146",8,0,0,0,0.535907628572056,8.9718318684662e-113,3.17314838004722e-314,3.17314838004722e-314,3.17314838004722e-314,1
"147",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"148",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"149",26,0,0,0,0.000441918059145196,2.17692990833954e-313,2.17692990833954e-313,2.17692990833954e-313,2.17692990833954e-313,1
"150",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"151",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"152",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"153",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"154",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
